C;C^;D;D^;E;F;F^;G;G^;A;A^;B;
0.47966984;0.6305717;0.82403183;0.5401617;0.591728;0.4162303;0.80630016;0.44971484;0.66638094;1.0;0.7240599;0.38928178;
0.66199833;0.7152843;0.7495087;0.57702374;0.6061884;0.56590056;0.82610226;0.65392435;0.75167036;1.0;0.73688734;0.54507035;
0.6690677;0.70510477;0.7768469;0.6406085;0.6840957;0.56977147;0.86926347;0.66370225;0.73815066;1.0;0.71508586;0.55298245;
0.5993624;0.644175;0.8148159;0.65397334;0.6768111;0.5504109;0.92012924;0.5396279;0.7126349;1.0;0.6230051;0.47844988;
0.55569977;0.55837697;0.891919;0.6658383;0.7139743;0.49635386;0.9205064;0.43107346;0.624655;1.0;0.6373959;0.47326285;
0.4491778;0.5214442;0.8231497;0.58590984;0.68792665;0.46692964;1.0;0.41271916;0.5511582;0.9942324;0.61085224;0.3818304;
0.42904842;0.48078495;0.6696282;0.42981854;0.5578258;0.4104737;0.91229963;0.38793737;0.5704903;1.0;0.5729853;0.35338873;
0.5392094;0.5934657;0.74684376;0.4390574;0.53255445;0.4481519;0.80002654;0.37624505;0.6315925;1.0;0.6835512;0.49994296;
0.68320096;0.6738821;0.744963;0.4447583;0.4679588;0.472247;0.646851;0.4775061;0.6785428;1.0;0.6869367;0.6548596;
0.5756148;0.623221;0.6800237;0.47572234;0.5232628;0.44910654;0.71046346;0.61517435;0.661217;1.0;0.58336604;0.53822464;
0.4977164;0.5468258;0.70365834;0.42496166;0.45844546;0.47819942;1.0;0.6433404;0.44856623;0.83281195;0.4708362;0.42124507;
0.32464677;0.41329473;0.6198889;0.33468005;0.36330852;0.4665591;1.0;0.48731884;0.3244652;0.6273433;0.35907394;0.28158417;
0.32170352;0.39882937;0.6048574;0.32780233;0.33861858;0.45973125;1.0;0.4045937;0.34253109;0.6757973;0.35635325;0.25787422;
0.33463052;0.38937214;0.58989143;0.3029613;0.3656955;0.42646787;1.0;0.42173284;0.36570197;0.76332283;0.37776795;0.25921813;
0.3009906;0.32745102;0.55284387;0.26585922;0.34209275;0.37954032;1.0;0.414318;0.3385156;0.80961686;0.36619064;0.21861301;
0.2735177;0.33792976;0.5509368;0.2707901;0.33037427;0.37377858;1.0;0.39697427;0.3048264;0.77954715;0.3649284;0.20690306;
0.24464323;0.32691675;0.5551355;0.2747241;0.30635425;0.3750643;1.0;0.37699595;0.2827262;0.7195438;0.35455045;0.19668747;
0.24085595;0.31579888;0.5785505;0.26986375;0.29386517;0.36783603;1.0;0.39208812;0.29738843;0.68196404;0.3534331;0.18705836;
0.2548025;0.31433415;0.63590884;0.2875278;0.3091973;0.38136613;1.0;0.3974376;0.283827;0.6768723;0.35347104;0.19031326;
0.24750698;0.33864;0.6912362;0.2989919;0.30524054;0.39120656;1.0;0.38686797;0.28562608;0.67858607;0.33777964;0.18977702;
0.22745547;0.33972624;0.7005522;0.31666562;0.28404176;0.37995702;1.0;0.37583336;0.27800515;0.632766;0.31513613;0.17505983;
0.29024622;0.3844809;0.70327497;0.31841555;0.282402;0.38166425;1.0;0.38318217;0.29097876;0.6008748;0.32509637;0.21947512;
0.50008935;0.58874863;0.8326345;0.47577515;0.4911883;0.49964204;1.0;0.5298506;0.43643028;0.6072695;0.40195826;0.4218934;
0.54810965;0.6737462;0.8685391;0.65022343;0.701708;0.58927494;1.0;0.6989825;0.61095554;0.7093937;0.49485508;0.5402974;
0.4612627;0.4702773;0.6378625;0.51260394;0.6228708;0.49537352;1.0;0.680928;0.54618263;0.8067062;0.5274096;0.47387427;
0.2844695;0.31791985;0.50664276;0.35558352;0.42840424;0.47325945;1.0;0.5194172;0.38136995;0.6371458;0.39062807;0.29173887;
